date,pm25,pm10,o3,no2,so2,co
2025/8/6, 45, 16, , 6, 3, 2
2025/8/7, 28, 18, , , , 
2025/8/8, 41, 15, , 9, 2, 1
2025/8/9, 36, 16, , 7, 2, 2
2025/8/10, 38, 24, , 9, 3, 2
2025/8/11, 49, 22, , 10, 2, 2
2025/8/12, 42, 17, , 10, 2, 2
2025/8/13, 42, 13, , 9, 2, 2
2025/8/14, 30, 14, , 11, 2, 2
2025/8/15, 26, 16, , 12, 2, 2
2025/8/16, 36, 13, , 7, 2, 2
2025/8/17, 37, 19, , 8, 2, 2
2025/8/18, 55, 14, , 8, 2, 2
2025/8/19, 39, 19, , 9, 2, 2
2025/8/20, 36, 35, , 12, 2, 2
2025/8/21, 52, 21, , 7, 2, 3
2025/8/22, 52, 20, , 5, 2, 2
2025/8/23, 45, 13, , 9, 2, 2
2025/8/24, 29, 15, , 11, 2, 2
2025/8/25, 29, 17, , 11, 2, 2
2025/8/26, 29, 20, , 19, 2, 3
2025/8/27, 35, 17, , 11, 2, 2
2025/8/28, 26, 25, , 10, 4, 3
2025/8/29, 43, 23, , 8, 3, 2
2025/8/30, 37, 8, , 7, 2, 3
2025/8/31, 24, 15, , 11, 2, 3
2025/9/1, 30, 18, , 15, 2, 3
2025/9/2, 34, 19, , 12, 3, 3
2025/9/3, 33, 21, , 9, 2, 3
2025/9/4, 45, 27, , 13, 2, 3
2025/9/5, 46, 24, , 9, 4, 2
2025/9/6, 41, 21, , 9, 4, 3
2025/9/7, 40, 27, , 16, 2, 3
2025/9/8, 50, 33, , 16, 3, 3
2025/9/9, 53, 34, , 16, 2, 3
2025/9/10, 56, 24, , 10, 2, 3
2025/9/11, 49, 21, , 9, 2, 3
2025/9/12, 42, 18, , 8, 2, 3
2025/9/13, 44, 17, , 6, 2, 3
2025/9/14, 35, 21, , 8, 2, 3
2025/9/15, 49, 23, , 15, 2, 3
2025/9/16, 43, 17, , 11, 2, 3
2025/9/17, 29, 20, , 14, 2, 3
2025/9/18, 33, 20, , 10, 2, 3
2025/9/19, 35, 15, , 10, 2, 3
2025/9/20, 30, 16, , 8, 2, 3
2025/9/21, 32, 15, , 9, 2, 3
2025/9/22, 26, 23, , 17, 2, 4
2025/9/23, 33, 29, , 16, 2, 5
2025/9/24, 45, 30, , 11, 2, 4
2025/9/25, 52, 25, , 6, 2, 3
2025/9/26, 41, 18, , 9, 2, 3
2025/9/27, 40, 14, , 8, 2, 3
2025/9/28, 43, 25, , 13, 2, 5
2025/9/29, 68, 34, , 11, 2, 4
2025/9/30, 76, 27, , 12, 3, 4
2025/4/1, 66, 23, , 11, 2, 2
2025/4/2, 52, 29, , 10, 2, 2
2025/4/3, 74, 34, , 9, 2, 3
2025/4/4, 82, 45, , 11, 3, 5
2025/4/5, 101, 19, , 6, 2, 3
2025/4/6, 56, 36, , 11, 2, 3
2025/4/7, 77, 40, , 11, 2, 4
2025/4/8, 94, 48, , 17, 3, 5
2025/4/9, 108, 45, , 14, 3, 5
2025/4/10, 101, 58, , 17, 4, 5
2025/4/11, 88, 29, , 12, 2, 6
2025/4/12, 76, 33, , , , 
2025/4/13, 76, 33, , , , 
2025/4/14, 70, 27, , 11, 3, 3
2025/4/15, 72, 31, , 9, 3, 3
2025/4/16, 62, 30, , 10, 5, 3
2025/4/17, 59, 12, , 4, 3, 2
2025/4/18, 26, 15, , 6, 2, 2
2025/4/19, 36, 17, , 7, 2, 2
2025/4/20, 41, 26, , 8, 2, 2
2025/4/21, 47, 29, , 11, 2, 2
2025/4/22, 55, 23, , 9, 3, 2
2025/4/23, 55, 21, , 9, 2, 2
2025/4/24, 51, 24, , 10, 2, 2
2025/4/25, 55, 24, , 9, 2, 2
2025/4/26, 62, 14, , 5, 2, 2
2025/4/27, 37, 19, , 9, 2, 2
2025/4/28, 41, 20, , 9, 2, 2
2025/4/29, 35, 26, , 12, 2, 3
2025/4/30, 44, 27, , 9, 2, 3
2025/5/1, 59, 23, , 8, 2, 3
2025/5/2, 47, 21, , 9, 2, 2
2025/5/3, 46, 23, , 10, 2, 3
2025/5/4, 45, 30, , 12, 4, 3
2025/5/5, 49, 29, , 7, 2, 3
2025/5/6, 54, 18, , 9, 2, 2
2025/5/7, 51, 17, , 5, 2, 3
2025/5/8, 41, 16, , 7, 3, 3
2025/5/9, 45, 20, , 7, 2, 3
2025/5/10, 49, 17, , 7, 2, 3
2025/5/11, 48, 19, , 8, 2, 3
2025/5/12, 46, 20, , 9, 2, 3
2025/5/13, 54, 20, , 10, 2, 3
2025/5/14, 45, 21, , 6, 2, 3
2025/5/15, 45, 16, , 6, 2, 3
2025/5/16, 51, 26, , 8, 2, 3
2025/5/17, 59, 16, , 6, 2, 3
2025/5/18, 42, 23, , 11, 2, 3
2025/5/19, 49, 24, , 8, 2, 3
2025/5/20, 56, 17, , 7, 2, 3
2025/5/21, 42, 18, , 11, 2, 4
2025/5/22, 37, 20, , 10, 2, 4
2025/5/23, 41, 16, , 4, 5, 3
2025/5/24, 51, 17, , 6, 2, 3
2025/5/25, 51, 16, , 9, 3, 3
2025/5/26, 39, 17, , 9, 4, 3
2025/5/27, 37, 23, , 13, 3, 4
2025/5/28, 52, 16, , 14, 2, 4
2025/5/29, 46, 18, , 11, 4, 4
2025/5/30, 43, 17, , 10, 3, 3
2025/5/31, 45, 17, , 9, 2, 4
2025/6/1, 46, 21, , 9, 2, 3
2025/6/2, 47, 22, , 9, 2, 4
2025/6/3, 49, 23, , 12, 2, 4
2025/6/4, 48, 23, , 9, 2, 4
2025/6/5, 54, 22, , 7, 3, 4
2025/6/6, 55, 20, , 7, 2, 3
2025/6/7, 51, 22, , 6, 3, 4
2025/6/8, 55, 25, , 7, 2, 4
2025/6/9, 54, 18, , 7, 2, 4
2025/6/10, 50, 19, , 13, 2, 5
2025/6/11, 54, 20, , 10, 2, 4
2025/6/12, 51, 17, , 10, 2, 4
2025/6/13, 44, 13, , 8, 2, 4
2025/6/14, 35, 12, , 9, 2, 4
2025/6/15, 35, 16, , 12, 3, 4
2025/6/16, 44, 20, , 7, 5, 4
2025/6/17, 44, 23, , 7, 5, 5
2025/6/18, 50, 33, , 10, 3, 5
2025/6/19, 69, 34, , 10, 3, 4
2025/6/20, 60, 23, , 10, 2, 4
2025/6/21, 41, 18, , 9, 2, 4
2025/6/22, 36, 21, , 10, 2, 4
2025/6/23, 37, 24, , 14, 3, 4
2025/6/24, 45, 25, , 13, 3, 5
2025/6/25, 48, 26, , 17, 4, 5
2025/6/26, 49, 35, , 11, 3, 5
2025/6/27, 58, 17, , 6, 3, 4
2025/6/28, 37, 14, , 5, 2, 4
2025/6/29, 27, 18, , 13, 2, 5
2025/6/30, 35, 24, , 11, 3, 5
2025/1/1, 185, 107, , 18, 5, 38
2025/1/2, 186, 49, , 15, 4, 15
2025/1/3, 114, 44, , 12, 3, 7
2025/1/4, 110, 79, , 14, 3, 18
2025/1/5, 177, 91, , 15, 4, 24
2025/1/6, 194, 69, , 17, 5, 21
2025/1/7, 163, 68, , 15, 7, 14
2025/1/8, 144, 70, , 13, 5, 17
2025/1/9, 148, 26, , 10, 3, 5
2025/1/10, 69, 32, , 9, 2, 4
2025/1/11, 68, 42, , 8, 2, 5
2025/1/12, 98, 42, , 9, 3, 5
2025/1/13, 103, 39, , 11, 2, 6
2025/1/14, 99, 42, , 10, 2, 6
2025/1/15, 114, 47, , 13, 6, 6
2025/1/16, 126, 52, , 14, 8, 6
2025/1/17, 138, 48, , 10, 5, 6
2025/1/18, 126, 48, , 7, 3, 6
2025/1/19, 134, 68, , 13, 3, 16
2025/1/20, 158, 100, , 20, 3, 22
2025/1/21, 198, 98, , 21, 5, 19
2025/1/22, 193, 77, , 24, 6, 16
2025/1/23, 159, 61, , 16, 5, 13
2025/1/24, 139, 50, , 8, 2, 8
2025/1/25, 132, 83, , 19, 6, 19
2025/1/26, 151, 60, , 15, 5, 7
2025/1/27, 127, 65, , 19, 6, 10
2025/1/28, 120, 60, , 24, 7, 8
2025/1/29, 115, 65, , 15, 3, 10
2025/1/30, 135, 68, , 12, 3, 9
2025/1/31, 140, 61, , 14, 5, 9
2025/2/1, 134, 69, , 15, 3, 11
2025/2/2, 157, 54, , 15, 3, 6
2025/2/3, 126, 55, , 15, 3, 9
2025/2/4, 131, 59, , 14, 3, 6
2025/2/5, 141, 56, , 17, 7, 6
2025/2/6, 136, 30, , 9, 3, 3
2025/2/7, 82, 26, , 5, 2, 2
2025/2/8, 73, 27, , 5, 2, 2
2025/2/9, 82, 56, , 14, 3, 6
2025/2/10, 134, 56, , 16, 3, 8
2025/2/11, 135, 42, , 15, 3, 4
2025/2/12, 109, 50, , 14, 4, 6
2025/2/13, 110, 64, , , , 
2025/2/14, 133, 34, , 11, 2, 3
2025/2/15, 92, 37, , 8, 2, 4
2025/2/16, 100, 26, , 9, 2, 4
2025/2/17, 85, 38, , 14, 2, 5
2025/2/18, 96, 57, , 16, 3, 7
2025/2/19, 128, 73, , 21, 4, 9
2025/2/20, 160, 64, , 16, 3, 8
2025/2/21, 150, 31, , 8, 3, 3
2025/2/22, 87, 40, , 8, 5, 4
2025/2/23, 107, 73, , 13, 3, 8
2025/2/24, 162, 83, , 17, 6, 13
2025/2/25, 170, 66, , 14, 5, 9
2025/2/26, 149, 51, , 12, 7, 6
2025/2/27, 122, 52, , 10, 3, 5
2025/2/28, 131, 33, , 7, 3, 5
2025/3/1, 89, 35, , 9, 3, 4
2025/3/2, 92, 47, , 15, 5, 6
2025/3/3, 101, 61, , 17, 3, 8
2025/3/4, 134, 65, , 19, 4, 9
2025/3/5, 136, 72, , 22, 4, 10
2025/3/6, 137, 55, , 19, 4, 7
2025/3/7, 115, 56, , 19, 4, 7
2025/3/8, 118, 55, , 20, 4, 8
2025/3/9, 127, 56, , 11, 5, 7
2025/3/10, 95, 47, , 13, 8, 7
2025/3/11, 99, 84, , 23, 8, 11
2025/3/12, 122, 28, , 7, 5, 5
2025/3/13, 62, 39, , 13, 3, 6
2025/3/14, 66, 42, , 13, 5, 6
2025/3/15, 76, 34, , 7, 4, 5
2025/3/16, 83, 22, , 9, 4, 5
2025/3/17, 62, 20, , 8, 2, 5
2025/3/18, 54, 40, , 13, 3, 7
2025/3/19, 95, 49, , 16, 2, 9
2025/3/20, 107, 56, , 21, 4, 10
2025/3/21, 112, 41, , 12, 5, 8
2025/3/22, 88, 41, , 12, 4, 9
2025/3/23, 103, 48, , 14, 5, 8
2025/3/24, 99, 36, , 11, 4, 7
2025/3/25, 82, 37, , 14, 3, 8
2025/3/26, 91, 38, , 11, 2, 8
2025/3/27, 92, 16, , 9, 2, 4
2025/3/28, 52, 19, , 7, 2, 2
2025/3/29, 55, 23, , 6, 3, 2
2025/3/30, 64, 34, , 12, 2, 3
2025/3/31, 93, 23, , 8, 2, 2
2024/10/1, 53, 26, , 15, 2, 4
2024/10/2, 59, 31, , 20, 3, 5
2024/10/3, 58, 25, , 19, 2, 4
2024/10/4, 52, 17, , 8, 2, 2
2024/10/5, 53, 22, , 5, 3, 2
2024/10/6, 68, 34, , 11, 2, 4
2024/10/7, 74, 30, , 13, 2, 4
2024/10/8, 60, 28, , 17, 3, 5
2024/10/9, 63, 33, , 17, 3, 4
2024/10/10, 63, 24, , 16, 2, 3
2024/10/11, 58, 27, , 11, 2, 3
2024/10/12, 71, 37, , 12, 2, 4
2024/10/13, 85, 36, , 14, 2, 4
2024/10/14, 78, 39, , 15, 2, 5
2024/10/15, 84, 26, , 14, 3, 3
2024/10/16, 59, 22, , 12, 2, 2
2024/10/17, 56, 19, , 11, 2, 2
2024/10/18, 43, 20, , 8, 4, 2
2024/10/19, 44, 18, , 8, 4, 2
2024/10/20, 42, 42, , 18, 2, 5
2024/10/21, 90, , , , , 
2024/10/26, 160, 52, 26, , , 
2024/10/27, 113, 54, , , , 
2024/10/28, 115, 63, , , , 
2024/10/29, 135, 56, , , , 
2024/10/30, 131, 53, , , , 
2024/10/31, 124, 52, , , , 
2024/11/1, 122, 43, , , , 
2024/11/2, 103, 43, , , , 
2024/11/3, 83, 51, , 20, 8, 6
2024/11/4, 104, 51, , 15, 3, 6
2024/11/5, 116, 60, , 20, 3, 8
2024/11/6, 131, 68, , 20, 2, 9
2024/11/7, 138, 75, , 23, 3, 9
2024/11/8, 151, 60, , 11, 2, 6
2024/11/9, 146, 38, , 10, 2, 4
2024/11/10, 101, 41, , 10, 3, 5
2024/11/11, 113, 25, , 9, 4, 4
2024/11/12, 74, 23, , 8, 2, 3
2024/11/13, 69, 26, , 6, 2, 4
2024/11/14, 81, 36, , 14, 3, 6
